pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
65300,mroeschke,jorisvandenbossche,COMMENTED,,2026-04-23T15:40:15Z
65300,mroeschke,jorisvandenbossche,COMMENTED,,2026-04-23T15:42:07Z
65300,mroeschke,mroeschke,COMMENTED,,2026-05-03T02:47:44Z
65297,jbrockmendel,mroeschke,APPROVED,,2026-04-20T15:47:24Z
65285,jbrockmendel,mroeschke,APPROVED,,2026-04-20T15:52:18Z
65279,jbrockmendel,mroeschke,APPROVED,,2026-04-21T17:14:46Z
65276,jbrockmendel,mroeschke,APPROVED,,2026-04-18T21:09:51Z
65275,coolcoder152,jbrockmendel,COMMENTED,,2026-04-20T15:21:01Z
65274,harrywzl,jbrockmendel,COMMENTED,,2026-04-18T21:41:54Z
65274,harrywzl,harrywzl,COMMENTED,,2026-04-19T00:09:27Z
65273,jbrockmendel,mroeschke,COMMENTED,,2026-04-18T16:55:52Z
65273,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-18T17:05:55Z
65273,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-18T19:15:46Z
65273,jbrockmendel,mroeschke,APPROVED,,2026-04-18T21:08:25Z
65272,jbrockmendel,Alvaro-Kothe,COMMENTED,"Overall, I believe vendoring OpenMP in the PyPI wheel introduces significant risk of runtime conflicts and is safer left disabled. In contrast, Conda environments can enforce a single runtime across all linked libraries, so enabling it there is a reasonable approach.",2026-04-18T11:32:01Z
65272,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-18T16:08:05Z
65272,jbrockmendel,Alvaro-Kothe,COMMENTED,,2026-04-18T19:42:12Z
65271,jbrockmendel,mroeschke,APPROVED,,2026-04-17T16:00:24Z
65268,jbrockmendel,jorisvandenbossche,COMMENTED,Generally looks good! Some comments/questions,2026-04-20T13:42:52Z
65268,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-20T15:05:58Z
65268,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-20T15:06:11Z
65268,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-20T20:15:52Z
65268,jbrockmendel,jorisvandenbossche,COMMENTED,,2026-04-21T15:44:31Z
65268,jbrockmendel,jorisvandenbossche,COMMENTED,,2026-04-27T13:43:58Z
65268,jbrockmendel,jorisvandenbossche,APPROVED,"Apart from that one remaining docstring comment, looks good to me!",2026-04-27T13:45:04Z
65266,jbrockmendel,mroeschke,APPROVED,,2026-04-18T16:58:12Z
65265,jbrockmendel,mroeschke,COMMENTED,,2026-05-07T17:31:32Z
65265,jbrockmendel,mroeschke,APPROVED,,2026-05-07T20:53:38Z
65265,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-08T17:57:14Z
65264,jbrockmendel,mroeschke,APPROVED,,2026-04-17T16:01:59Z
65263,preetsinghcs,jbrockmendel,COMMENTED,,2026-04-17T16:17:46Z
65263,preetsinghcs,jbrockmendel,COMMENTED,,2026-04-17T16:18:09Z
65260,jorisvandenbossche,mroeschke,APPROVED,,2026-04-16T16:09:17Z
65255,jorisvandenbossche,mroeschke,COMMENTED,,2026-04-16T16:52:49Z
65255,jorisvandenbossche,jorisvandenbossche,COMMENTED,,2026-04-16T19:25:46Z
65255,jorisvandenbossche,mroeschke,APPROVED,,2026-04-16T19:35:07Z
65244,jbrockmendel,mroeschke,COMMENTED,,2026-04-16T17:31:23Z
65244,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-17T00:54:00Z
65244,jbrockmendel,mroeschke,APPROVED,,2026-04-17T15:49:44Z
65241,jbrockmendel,mroeschke,COMMENTED,,2026-04-20T16:23:00Z
65241,jbrockmendel,mroeschke,COMMENTED,,2026-04-20T16:23:36Z
65241,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-20T16:41:26Z
65241,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-20T16:45:10Z
65241,jbrockmendel,mroeschke,APPROVED,,2026-04-21T17:23:03Z
65239,jbrockmendel,mroeschke,COMMENTED,,2026-04-21T17:28:32Z
65239,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-21T17:33:26Z
65239,jbrockmendel,mroeschke,COMMENTED,,2026-04-21T17:35:55Z
65239,jbrockmendel,mroeschke,APPROVED,,2026-04-21T17:35:58Z
65235,jbrockmendel,mroeschke,APPROVED,,2026-04-22T16:28:00Z
65234,jbrockmendel,mroeschke,APPROVED,,2026-04-21T17:19:26Z
65234,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-21T17:34:13Z
65233,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:49:54Z
65232,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:56:06Z
65230,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:41:38Z
65229,jbrockmendel,mroeschke,COMMENTED,,2026-04-16T17:54:46Z
65229,jbrockmendel,jbrockmendel,COMMENTED,,2026-04-16T18:33:11Z
65229,jbrockmendel,mroeschke,APPROVED,,2026-04-16T18:42:40Z
65225,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:37:04Z
65224,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:48:36Z
65221,jbrockmendel,mroeschke,APPROVED,,2026-04-16T17:47:18Z
65219,gautamvarmadatla,Kanishka1999,COMMENTED,,2026-04-14T14:34:01Z
65219,gautamvarmadatla,jbrockmendel,COMMENTED,,2026-04-14T16:34:31Z
65219,gautamvarmadatla,jbrockmendel,COMMENTED,,2026-04-14T16:35:17Z
65219,gautamvarmadatla,gautamvarmadatla,COMMENTED,,2026-04-15T03:03:09Z
65219,gautamvarmadatla,gautamvarmadatla,COMMENTED,,2026-04-15T03:06:51Z
65219,gautamvarmadatla,gautamvarmadatla,COMMENTED,,2026-04-15T03:22:49Z
65219,gautamvarmadatla,jbrockmendel,COMMENTED,,2026-04-15T22:03:36Z
